objid,u,g,r,i,z,ra,dec
1237672795035205893,22.212154,20.605545,18.938042,18.285458,17.924192,3.2502836,-8.95285812
1237672795035206234,22.564096,21.164864,19.362867,18.625599,18.209564,3.25218212,-8.99746489
1237657191443529802,19.309608,18.205914,17.658772,17.249529,17.135969,3.25335513,0.27235067
1237657191443529806,20.089865,18.574587,17.747839,17.336327,17.051523,3.25516153,0.34919693
1237652942639792321,25.168533,22.387709,22.006943,22.398106,22.398848,3.25555749,14.41125996
1237657191980400812,19.798523,18.375351,17.683802,17.279457,16.996632,3.27229426,0.8099962
1237672842284171440,22.571714,20.062206,18.338013,17.731319,17.393803,3.27710886,-8.8856413
1237657192517271761,20.739218,18.68812,17.603855,17.111462,16.793047,3.28665303,1.10416948
1237663278466072826,21.023226,19.739304,18.876184,18.422485,18.175711,3.29652138,0.90702109
1237672793962316109,22.56732,20.98308,19.273911,18.129286,17.730576,3.30680959,-11.08622605
1237652947990217123,23.376942,21.175503,19.419785,18.64653,18.157173,3.30873618,-9.66687496
1237652629100036228,24.832127,20.205059,18.482975,17.880322,17.486502,3.31372538,-10.79925756
1237657190369788032,19.304962,18.243038,17.902243,17.636143,17.538252,3.3198912,-0.52285223
1237653650762629447,19.312803,18.243263,17.903307,17.626675,17.495028,3.3335403,14.13337576
1237653651299500200,19.72221,17.992426,17.174925,16.667908,16.355608,3.33847812,14.51476128
1237663278466072795,20.012218,17.981857,16.943928,16.506483,16.143051,3.35490677,0.91534578
1237667172390731889,19.501593,18.768385,18.746201,18.508766,18.396898,3.36445889,-0.31555352
1237657190906659105,19.312113,18.177908,17.586687,17.305302,17.090725,3.36627076,-0.12767741
1237667172390731897,19.698362,18.33573,17.6378,17.208605,16.943933,3.36702448,-0.32980202
1237652629100036708,24.045431,23.587013,21.249006,19.931637,19.30481,3.36978395,-10.67474833
1237652900749574202,20.275093,19.585381,18.95784,18.622133,18.403641,3.3775756,-9.8299564
1237657191980400886,18.707262,16.711151,15.741152,15.22722,14.850681,3.37761152,0.67846863
